player_id,player_name,position,draft_year,draft_round,overall_pick,nfl_team_drafted,nfl_season,career_year,games,ppr_points,ppr_per_game,receptions,receiving_yards,receiving_tds,rushing_yards,rushing_tds,source,source_notes
00-0003761,,QB,1985,2,37,PHI,2001,17,2,10.0,5.0,0.0,0.0,0.0,40.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005363,,QB,1985,11,285,RAM,2001,17,15,25.2,1.68,0.0,0.0,0.0,192.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013639,,WR,1985,1,16,SFO,2001,17,18,293.0,16.278,96.0,1370.0,10.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005363,,QB,1985,11,285,RAM,2002,18,1,0.6,0.6,0.0,0.0,0.0,6.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013639,,WR,1985,1,16,SFO,2002,18,19,303.4,15.968,106.0,1414.0,9.0,20.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005363,,QB,1985,11,285,RAM,2003,19,7,28.8,4.114,0.0,0.0,0.0,168.0,2.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013639,,WR,1985,1,16,SFO,2003,19,16,161.1,10.069,63.0,861.0,2.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005363,,QB,1985,11,285,RAM,2004,20,2,15.9,7.95,0.0,0.0,0.0,39.0,2.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013639,,WR,1985,1,16,SFO,2004,20,12,90.9,7.575,30.0,429.0,3.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005363,,QB,1985,11,285,RAM,2005,21,1,-0.1,-0.1,0.0,0.0,0.0,-1.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0001785,,QB,1986,3,67,PIT,1999,14,1,1.7,1.7,0.0,0.0,0.0,17.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0001785,,QB,1986,3,67,PIT,2000,15,1,2.0,2.0,0.0,0.0,0.0,20.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0014234,,QB,1986,6,146,WAS,2001,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
