NAME	POS	SCHOOL	HT	WT	BMI	40YD	SPEED	VERTICAL	BROAD	BENCH	3CONE	SHUTTLE	YEAR	ROUND	SPORQ
Pierre Strong	RB	South Dakota St.	5' 11"	207	28.87	4.37	113.5	36.0	124.0	-	-	-	2022	4	89.5
Antonio Gibson	RB	Memphis	6' 0"	228	30.92	4.39	122.8	35.0	118.0	16	-	-	2020	3	89.3
Kevin Jones	RB	Virginia Tech	6' 0"	227	30.78	4.38	123.4	38.0	120.0	-	-	-	2004	1	89.2
Rock Cartwright	RB	Kansas St.	5' 8"	237	36.03	4.47	118.7	35.0	116.0	30	7.18	4.25	2002	7	88.9
Antonio Pittman	RB	Ohio St.	5' 11"	207	28.87	4.40	110.5	35.5	123.0	16	6.84	4.16	2007	4	88.7
Chris Evans	RB	Michigan	5' 11"	211	29.43	4.51	102.0	40.5	127.0	20	6.85	4.14	2021	6	88.6
Greg Jones	RB	Florida St.	6' 1"	249	32.85	4.55	116.2	-	-	-	-	-	2004	2	88.5
Rashard Mendenhall	RB	Illinois	5' 10"	225	32.28	4.41	119.0	33.5	117.0	26	-	4.18	2008	1	88.3
Tyrone Tracy Jr.	RB	Purdue	5' 11"	209	29.15	4.49	102.8	40.0	124.0	-	6.81	4.06	2024	5	88.2
Trey Benson	RB	Florida State	6' 0"	216	29.29	4.39	116.3	33.5	122.0	-	-	-	2024	3	88.0
Adrian Peterson	RB	Oklahoma	6' 1"	217	28.63	4.40	115.8	38.5	127.0	-	7.09	4.40	2007	1	87.9
Ryan Mathews	RB	Fresno St.	6' 0"	218	29.56	4.37	119.6	36.0	121.0	19	7.00	4.33	2010	1	87.8
Cam Akers	RB	Florida State	5' 10"	217	31.13	4.47	108.7	35.5	122.0	20	-	4.42	2020	2	87.5
Beanie Wells	RB	Ohio St.	6' 1"	235	31.00	4.59	105.9	33.5	128.0	25	-	-	2009	1	87.5
Darrynton Evans	RB	Appalachian State	5' 10"	203	29.12	4.41	107.3	37.0	125.0	20	-	-	2020	3	87.3
Reggie Bush	RB	USC	5' 11"	201	28.03	4.37	110.2	-	-	-	-	-	2006	1	87.2
Derrius Guice	RB	LSU	5' 10"	224	32.14	4.49	110.2	31.5	-	15	-	-	2018	2	87.0
Correll Buckhalter	RB	Nebraska	6' 0"	226	30.65	4.53	107.3	40.0	123.0	11	7.08	4.06	2001	4	86.9
Thomas Jones	RB	Virginia	5' 10"	216	30.99	4.45	110.2	-	-	-	-	-	2000	1	86.8
Jahmyr Gibbs	RB	Alabama	5' 9"	199	29.38	4.36	110.1	33.5	-	-	-	-	2023	1	86.6
DeAngelo Williams	RB	Memphis	5' 9"	214	31.60	4.45	109.1	35.5	121.0	25	-	-	2006	1	86.5
Allen Bradford	RB	USC	5' 11"	242	33.75	4.53	114.9	29.0	113.0	28	6.97	4.39	2011	6	86.3
MarShawn Lloyd	RB	USC	5' 8"	220	33.45	4.46	111.2	36.0	118.0	25	-	-	2024	3	86.2
Tevin Coleman	RB	Indiana	5' 11"	206	28.73	4.40	109.9	-	-	22	-	-	2015	3	86.0
Joseph Addai	RB	LSU	5' 11"	214	29.84	4.40	114.2	38.5	125.0	18	7.09	4.47	2006	1	85.9
Earnest Graham	RB	Florida	5' 9"	225	33.22	4.50	109.7	-	-	22	-	-	2003	-	85.8
Alex Barnes	RB	Kansas St.	6' 0"	226	30.65	4.59	101.8	38.5	126.0	34	6.95	4.10	2019	-	85.6
Rashaad Penny	RB	San Diego St.	5' 11"	220	30.68	4.46	111.2	32.5	120.0	13	-	-	2018	1	85.5
Raheim Sanders	RB	South Carolina	6' 0"	217	29.43	4.46	109.7	36.5	-	-	-	-	2025	-	85.3
Brandon Jacobs	RB	Southern Illinois	6' 4"	267	32.50	4.56	123.5	37.0	118.0	19	7.53	4.46	2005	4	85.2
Mikel Leshoure	RB	Illinois	6' 0"	227	30.78	4.56	105.0	38.0	122.0	21	6.82	4.40	2011	2	85.1
Toby Gerhart	RB	Stanford	6' 0"	231	31.33	4.50	112.7	38.0	118.0	22	6.94	4.25	2010	2	84.9
Bishop Sankey	RB	Washington	5' 9"	209	30.86	4.49	102.8	35.5	126.0	26	6.75	4.00	2014	2	84.8
Mario Fannin	RB	Auburn	5' 10"	231	33.14	4.37	126.7	37.5	115.0	21	6.99	4.21	2011	-	84.6
Jamaal Charles	RB	Texas	5' 11"	200	27.89	4.38	108.7	30.5	122.0	-	6.80	4.22	2008	3	84.5
Onterrio Smith	RB	Oregon	5' 10"	220	31.56	4.48	109.2	-	-	19	-	-	2003	4	84.3
Jamal Lewis	RB	Tennessee	6' 0"	240	32.55	4.58	109.1	-	-	23	-	-	2000	1	84.2
Bijan Robinson	RB	Texas	5' 11"	215	29.98	4.46	108.7	37.0	124.0	-	-	-	2023	1	84.1
Felix Jones	RB	Arkansas	5' 10"	207	29.70	4.44	106.5	33.5	124.0	-	6.90	4.19	2008	1	83.9
Kevan Barlow	RB	Pittsburgh	6' 1"	235	31.00	4.56	108.7	-	-	-	-	-	2001	3	83.8
Isiah Pacheco	RB	Rutgers	5' 10"	216	30.99	4.37	118.5	33.0	118.0	-	-	-	2022	7	83.6
Marshawn Lynch	RB	California	5' 11"	215	29.98	4.46	108.7	35.5	125.0	20	7.05	4.55	2007	1	83.5
Bernard Pierce	RB	Temple	6' 0"	218	29.56	4.45	111.2	36.5	123.0	17	7.07	4.28	2012	3	83.4
Julius Jones	RB	Notre Dame	5' 10"	217	31.13	4.47	108.7	37.5	121.0	-	6.97	4.12	2004	2	83.2
Michael Ford	RB	LSU	5' 9"	210	31.01	4.50	102.4	38.5	130.0	25	6.87	4.25	2013	-	83.1
Matt Forte	RB	Tulane	6' 1"	217	28.63	4.44	111.7	33.0	118.0	23	6.84	4.23	2008	2	82.9
Royce Freeman	RB	Oregon	5' 11"	229	31.94	4.54	107.8	34.0	118.0	17	6.90	4.16	2018	3	82.8
Cadillac Williams	RB	Auburn	5' 11"	217	30.26	4.43	112.7	35.5	118.0	19	6.94	4.15	2005	1	82.6
Jaylen Samuels	RB	North Carolina St.	5' 11"	225	31.38	4.54	105.9	34.5	121.0	18	6.93	4.28	2018	5	82.5
Tiyon Evans	RB	Louisville	5' 9.5"	225	32.75	4.52	107.8	30.5	-	-	-	-	2023	-	82.4
Ronnie Brown	RB	Auburn	6' 0"	233	31.60	4.43	121.0	34.0	117.0	18	7.10	4.08	2005	1	82.2
Alex Haynes	RB	Central Florida	5' 10"	223	31.99	4.51	107.8	32.5	-	21	-	-	2005	-	82.1
Tatum Bell	RB	Oklahoma St.	5' 11"	212	29.56	4.37	116.3	38.5	117.0	25	-	-	2004	2	81.9
Eddie Lacy	RB	Alabama	5' 11"	231	32.21	4.55	107.8	-	-	-	-	-	2013	2	81.8
Jordan Howard	RB	Indiana	6' 0"	230	31.19	4.57	105.5	34.0	122.0	16	-	-	2016	5	81.7
Zac Stacy	RB	Vanderbilt	5' 8"	216	32.84	4.55	100.8	33.0	122.0	27	6.70	4.17	2013	5	81.5
Ron Dayne	RB	Wisconsin	5' 11"	259	36.12	4.65	110.8	-	-	-	-	-	2000	1	81.4
Marlon Mack	RB	South Florida	5' 11"	213	29.70	4.50	103.9	35.5	125.0	15	-	-	2017	4	81.1
Laurence Maroney	RB	Minnesota	6' 0"	217	29.43	4.48	107.7	-	-	-	-	-	2006	1	80.9
B.J. Askew	RB	Michigan	6' 2"	241	30.94	4.60	107.7	-	-	-	-	-	2003	3	80.8
Bernard Scott	RB	Abilene Christian	5' 10"	200	28.69	4.44	102.9	36.0	125.0	21	6.82	4.08	2009	6	80.7
Daniel Lasco	RB	California	6' 0"	209	28.34	4.46	105.6	41.5	135.0	23	7.22	4.26	2016	7	80.5
Chauncey Washington	RB	USC	5' 11"	211	29.43	4.45	107.6	-	-	-	-	-	2008	7	80.4
Ryan Nall	RB	Oregon St.	6' 2"	232	29.78	4.58	105.5	33.0	122.0	15	6.95	4.16	2018	-	80.2
Rachaad White	RB	Arizona St.	6' 0"	214	29.02	4.48	106.3	38.0	125.0	-	-	-	2022	3	80.1
Miles Sanders	RB	Penn St.	5' 11"	211	29.43	4.49	103.8	36.0	124.0	20	6.89	4.19	2019	2	80.0
Evan Hull	RB	Northwestern	5' 10"	209	29.99	4.47	104.7	37.0	123.0	-	6.90	4.38	2023	5	79.8
Taiwan Jones	RB	East. Washington	6' 0"	194	26.31	4.33	110.4	-	-	13	-	-	2011	4	79.7
TreVeyon Henderson	RB	Ohio St.	5' 10"	202	28.98	4.43	104.9	38.5	128.0	-	-	-	2025	2	79.5
Delone Carter	RB	Syracuse	5' 9"	222	32.78	4.54	104.5	37.0	120.0	27	6.92	4.07	2011	4	79.4
Alex Green	RB	Hawaii	6' 0"	225	30.51	4.45	114.8	34.0	114.0	20	6.91	4.15	2011	3	79.2
Tashard Choice	RB	Georgia Tech	5' 10"	215	30.85	4.48	106.7	34.0	119.0	20	6.88	-	2008	4	79.1
