NAME	POS	SCHOOL	HT	WT	BMI	40YD	SPEED	VERTICAL	BROAD	BENCH	3CONE	SHUTTLE	YEAR	ROUND	SPORQ
Anthony Davis	RB	Wisconsin	5' 7"	200	31.32	4.50	97.5	38.0	121.0	18	7.39	-	2005	7	35.7
Mike Gillislee	RB	Florida	5' 11"	208	29.01	4.55	97.1	30.5	119.0	15	7.12	4.40	2013	5	35.6
Trey Ragas	RB	Louisiana	5' 10.5"	218	30.83	4.60	97.4	33.5	117.0	23	7.15	4.50	2021	-	35.3
Reggie White	RB	Oklahoma St.	6' 0"	228	30.92	4.58	103.6	37.5	114.0	17	7.48	4.40	2001	-	35.3
Raymond Calais	RB	Louisiana-Lafayette	5' 8"	188	28.58	4.42	98.5	37.5	120.0	20	-	-	2020	7	35.1
Dare Ogunbowale	RB	Wisconsin	5' 11"	213	29.70	4.65	91.1	35.0	120.0	14	6.99	4.34	2017	-	35.0
Kareem Hunt	RB	Toledo	5' 10"	216	30.99	4.62	94.8	36.5	119.0	18	-	-	2017	3	34.8
Jamaal Williams	RB	BYU	6' 0"	212	28.75	4.59	95.5	30.0	123.0	-	7.25	4.53	2017	4	34.7
Audric Estime	RB	Notre Dame	5' 11"	221	30.82	4.72	89.1	38.0	125.0	23	-	-	2024	5	34.6
DeCori Birmingham	RB	Arkansas	5' 10"	210	30.13	4.56	97.1	34.5	118.0	14	7.13	4.28	2005	-	34.4
James Conner	RB	Pittsburgh	6' 1"	233	30.74	4.65	99.7	29.0	113.0	20	-	-	2017	3	34.3
Graig Cooper	RB	Miami (FL)	5' 10"	205	29.41	4.60	91.6	-	114.0	18	6.66	4.03	2011	-	34.1
Henry Josey	RB	Missouri	5' 8"	194	29.49	4.43	100.7	34.5	118.0	20	7.07	4.13	2014	-	34.0
Javon Leake	RB	Maryland	6' 0"	215	29.16	4.65	92.0	34.0	125.0	-	-	-	2020	-	33.9
Camerun Peoples	RB	Appalachian State	6' 1"	217	28.63	4.61	96.1	37.0	121.0	-	-	-	2023	-	33.7
Qadree Ollison	RB	Pittsburgh	6' 1"	228	30.08	4.58	103.6	29.5	114.0	19	7.53	4.31	2019	5	33.6
Wayne Gallman	RB	Clemson	6' 0"	215	29.16	4.60	96.0	29.5	120.0	21	7.17	4.28	2017	4	33.4
Ahmad Bradshaw	RB	Marshall	5' 9"	198	29.24	4.55	92.4	34.0	112.0	-	6.70	4.09	2007	7	33.3
Eric McCoo	RB	Penn St.	5' 10"	214	30.70	4.55	99.9	32.5	112.0	14	-	-	2002	-	33.1
James Jackson	RB	Miami (FL)	5' 10"	210	30.13	4.55	98.0	-	-	-	-	-	2001	3	33.0
LeVante Bellamy	RB	Western Michigan	5' 9"	192	28.35	4.50	93.6	39.5	125.0	16	-	-	2020	-	32.9
Malaefou MacKenzie	RB	USC	5' 10"	233	33.43	4.67	98.0	-	-	-	-	-	2003	7	32.7
Rondell Mealey	RB	LSU	6' 0"	212	28.75	4.69	87.6	33.0	120.0	-	6.89	4.15	2000	7	32.6
Robert Henry Jr.	RB	UTSA	5' 9"	196	28.94	4.52	93.9	37.0	124.0	-	-	4.31	2026	TBD	32.4
Stanley Williams	RB	Kentucky	5' 7"	190	29.75	4.51	91.8	36.0	121.0	18	6.86	4.18	2017	-	32.3
Mark Ingram	RB	Alabama	5' 9"	215	31.75	4.62	94.4	31.5	118.0	21	7.13	4.62	2011	1	32.1
Clarence Farmer	RB	Arizona	6' 0"	231	31.33	4.68	96.3	34.5	120.0	25	7.44	4.25	2004	-	32.0
Gary Brightwell	RB	Arizona	5' 10.5"	218	30.83	4.58	99.1	34.5	118.0	17	7.51	4.48	2021	6	31.9
Miguel Maysonet	RB	Stony Brook	5' 9"	209	30.86	4.54	98.4	-	-	20	7.21	4.43	2013	-	31.7
Cedric Benson	RB	Texas	5' 10"	222	31.85	4.62	97.5	-	-	-	-	-	2005	1	31.6
Tank Bigsby	RB	Auburn	6' 0"	210	28.48	4.56	97.1	32.5	119.0	-	-	-	2023	3	31.4
Cedric Cobbs	RB	Arkansas	6' 0"	223	30.24	4.75	87.6	40.0	123.0	-	-	-	2004	4	31.3
Marcus Yarns	RB	Delaware	5' 11"	193	26.92	4.45	98.4	37.5	122.0	-	-	-	2025	-	31.2
La'Mical Perine	RB	Florida	5' 11"	216	30.12	4.62	94.8	35.0	118.0	22	7.13	4.31	2020	4	31.0
Jaylen Warren	RB	Oklahoma St.	5' 8"	204	31.01	4.55	95.2	31.5	119.0	-	-	-	2022	-	30.9
Tony Hunt	RB	Penn St.	6' 2"	233	29.91	4.68	97.1	-	-	24	-	-	2007	3	30.7
BenJarvus Green-Ellis	RB	Mississippi	5' 11"	219	30.54	4.60	97.8	30.5	114.0	24	-	-	2008	-	30.6
T.A. McLendon	RB	North Carolina St.	5' 10"	235	33.72	4.71	95.5	35.0	117.0	27	7.34	4.19	2005	-	30.4
Calvin Dawson	RB	La-Monroe	5' 8"	199	30.25	4.50	97.1	-	-	-	-	-	2008	-	30.3
Lorenzo Booker	RB	Florida St.	5' 10"	191	27.40	4.46	96.5	35.5	121.0	26	-	-	2007	3	30.2
Lavon Coleman	RB	Washington	5' 11"	215	29.98	4.65	92.0	33.0	120.0	23	-	-	2018	-	30.0
Devonta Freeman	RB	Florida St.	5' 8"	206	31.32	4.58	93.6	31.5	118.0	-	7.11	4.26	2014	4	29.9
Scottie Phillips	RB	Mississippi	5' 8"	209	31.77	4.56	96.7	30.0	114.0	29	7.40	4.53	2020	-	29.7
Mike Bell	RB	Arizona	6' 0"	221	29.97	4.60	98.7	31.5	112.0	19	7.16	4.21	2006	-	29.6
Alex Collins	RB	Arkansas	5' 10"	217	31.13	4.59	97.8	28.5	113.0	18	-	-	2016	5	29.5
Tyrell Sutton	RB	Northwestern	5' 8"	211	32.08	4.64	91.0	33.0	114.0	-	6.94	4.32	2009	-	29.3
Dwayne Wright	RB	Fresno St.	5' 11"	228	31.80	4.66	96.7	34.0	115.0	14	7.23	4.43	2007	4	29.2
Tony Jones	RB	Notre Dame	5' 10"	220	31.56	4.68	91.7	32.5	119.0	13	7.18	4.21	2020	-	29.0
Zack Moss	RB	Utah	5' 9"	223	32.93	4.65	95.4	33.0	-	19	-	4.37	2020	3	28.9
Eric Crouch	RB	Nebraska	6' 0"	195	26.44	4.47	97.7	38.0	112.0	-	6.87	4.02	2002	3	28.7
Stafon Johnson	RB	USC	5' 11"	214	29.84	4.62	93.9	35.5	118.0	13	-	-	2010	-	28.6
Fred Russell	RB	Iowa	5' 7"	195	30.54	4.50	95.1	34.0	121.0	21	7.09	4.30	2004	-	28.5
Gus Johnson	RB	Stephen F. Austin	5' 10"	215	30.85	4.70	88.1	36.5	120.0	26	7.09	4.13	2015	-	28.3
P.J. Hill	RB	Wisconsin	5' 10"	222	31.85	4.63	96.6	-	-	-	-	-	2009	-	28.2
Vai Taua	RB	Nevada	5' 9"	213	31.45	4.65	91.1	34.5	112.0	20	6.89	4.18	2011	-	28.0
Stefphon Jefferson	RB	Nevada	5' 10"	213	30.56	4.68	88.8	31.0	117.0	15	6.97	4.44	2013	-	27.9
LeSean McCoy	RB	Pittsburgh	5' 10"	198	28.41	4.50	96.6	-	-	-	-	-	2009	2	27.8
De'Anthony Thomas	RB	Oregon	5' 9"	174	25.69	4.39	93.7	32.0	124.0	8	-	-	2014	4	27.6
Jeremiah Johnson	RB	Oregon	5' 9"	209	30.86	4.57	95.8	35.0	115.0	20	-	-	2009	-	27.5
Walter Reyes	RB	Syracuse	5' 10"	209	29.99	4.52	100.1	32.0	109.0	16	7.23	4.38	2005	-	27.2
Shadrach Thornton	RB	North Carolina St.	6' 0"	217	29.43	4.75	85.3	31.0	116.0	12	6.85	4.21	2016	-	27.2
Mike Ball	RB	Nevada	5' 8"	206	31.32	4.54	97.0	36.0	112.0	21	7.10	4.23	2012	-	27.0
Kennedy Brooks	RB	Oklahoma	5' 11"	209	29.15	4.59	94.2	31.0	120.0	-	-	-	2022	-	26.9
Brandon Minor	RB	Michigan	6' 0"	214	29.02	4.59	96.4	-	-	-	-	-	2010	-	26.8
Tavion Thomas	RB	Utah	6' 0"	237	32.14	4.74	93.9	30.0	118.0	-	-	-	2023	-	26.6
Marcus Thomas	RB	Texas-El Paso	6' 0"	213	28.88	4.59	96.0	30.0	116.0	21	-	-	2008	5	26.5
Darrell Scott	RB	South Florida	6' 0"	231	31.33	4.68	96.3	31.5	-	-	-	-	2012	-	26.3
Chester Taylor	RB	Toledo	5' 11"	213	29.70	4.58	96.8	33.0	114.0	22	-	-	2002	6	26.2
Silas Redd	RB	USC	5' 10"	212	30.42	4.70	86.9	37.0	122.0	18	-	-	2014	-	26.0
Kyle Hicks	RB	TCU	5' 10"	204	29.27	4.63	88.8	36.5	122.0	13	-	-	2018	-	25.9
Javarris James	RB	Miami (FL)	6' 0"	212	28.75	4.58	96.4	36.0	115.0	21	-	-	2010	-	25.8
Brian Westbrook	RB	Villanova	5' 8"	200	30.41	4.57	91.7	37.0	118.0	26	7.09	-	2002	3	25.6
David Cobb	RB	Minnesota	5' 11"	229	31.94	4.81	85.6	38.5	121.0	17	-	-	2015	5	25.5
Jerrion Ealy	RB	Mississippi	5' 8"	189	28.73	4.52	90.6	34.5	128.0	-	-	-	2022	-	25.3
